"","county_fips","year","rep_votes","all_votes","state","pc_rep","unemploy_rate","median_income","pc_uninsured","pop_over_18","turnout","med_inc_000s"
"1",1001,2012,17379,23932,"AL",72.6182517131874,8.6,53773,9.6,39953,59.9003829499662,53.773
"2",1001,2016,18172,24973,"AL",72.7665879149481,5.6,53099,8.9,41196,60.6199631032139,53.099
"3",1001,2020,19838,27770,"AL",71.4368023046453,2.9,57982,8,42496,65.3473268072289,57.982
"4",1003,2012,66016,85338,"AL",77.3582694696384,8.5,50706,14.5,141116,60.4736528813175,50.706
"5",1003,2016,72883,95215,"AL",76.5457123352413,6.3,51365,11.8,155240,61.3340633857253,51.365
"6",1003,2020,83544,109679,"AL",76.1713728243328,3.9,61756,9.5,171296,64.0289323743695,61.756
"7",1005,2012,5550,11509,"AL",48.2231297245634,13.5,31889,16.9,21467,53.6125215446965,31.889
"8",1005,2016,5454,10469,"AL",52.0966663482663,12.8,33956,13,20879,50.1412902916806,33.956
"9",1005,2020,5622,10518,"AL",53.4512264689104,6.9,34990,10.7,19804,53.1104827307615,34.99
"10",1007,2012,6132,8420,"AL",72.8266033254157,10.5,36824,14.8,17481,48.1665808592186,36.824
"11",1007,2016,6738,8819,"AL",76.4032203197641,7.1,39776,9,17816,49.5004490345757,39.776
"12",1007,2020,7525,9595,"AL",78.4262636789995,7.4,51721,9.1,17790,53.9347948285554,51.721
"13",1009,2012,20757,24006,"AL",86.4658835291177,10,45192,13.1,43467,55.2281040789565,45.192
"14",1009,2016,22859,25588,"AL",89.3348444583398,6,46212,11.2,44103,58.0187288846564,46.212
"15",1009,2020,24711,27588,"AL",89.5715528490648,5.2,48922,10,44383,62.1589347272604,48.922
"16",1011,2012,1251,5322,"AL",23.5062006764374,14.3,34500,14.4,8396,63.3873272987137,34.5
"17",1011,2016,1140,4710,"AL",24.203821656051,13.3,29335,16.7,8278,56.8978014013047,29.335
"18",1011,2020,1146,4613,"AL",24.8428354649902,3.4,33866,10.5,7894,58.4367874334938,33.866
"19",1013,2012,5087,9496,"AL",53.5699241786015,13.8,30752,16,15754,60.2767551098134,30.752
"20",1013,2016,4901,8732,"AL",56.1268896014659,9.8,34315,11.8,15547,56.1651765613945,34.315
"21",1013,2020,5458,9488,"AL",57.5252951096121,6.5,44850,10.1,15325,61.9119086460033,44.85
"22",1015,2012,30278,46257,"AL",65.4560390859762,13.3,40093,14,90966,50.8508673570345,40.093
"23",1015,2016,32865,47864,"AL",68.6632960053485,11.7,41954,10.9,90242,53.039604618692,41.954
"24",1015,2020,35101,50983,"AL",68.8484396759704,7.3,50128,10,89555,56.9292613477751,50.128
"25",1017,2012,7626,14611,"AL",52.1935528026829,16,32181,16.1,26421,55.3007077703342,32.181
"26",1017,2016,7843,13900,"AL",56.4244604316547,7.5,36027,11.8,26735,51.9917710865906,36.027
"27",1017,2020,8753,15284,"AL",57.2690395184507,3.6,43875,9.2,26481,57.7168535931422,43.875
"28",1019,2012,7506,9779,"AL",76.7563145515901,10.5,36241,11.4,20577,47.5239344899645,36.241
"29",1019,2016,8953,10733,"AL",83.4156340259014,5.9,38925,9.5,20571,52.1753925429002,38.925
"30",1019,2020,10583,12301,"AL",86.0336558003414,4.1,42509,9.5,21032,58.4870673259795,42.509
"31",1021,2012,13932,17462,"AL",79.7846752949261,11.3,40834,16.3,32725,53.3598166539343,40.834
"32",1021,2016,15081,18369,"AL",82.1002776416789,7.9,42594,15.8,33227,55.2833538989376,42.594
"33",1021,2020,16085,19310,"AL",83.2988089073019,6.1,52141,11.7,33587,57.492482210379,52.141
"34",1023,2012,4152,7968,"AL",52.1084337349398,15.6,35123,13.2,10721,74.3214252401828,35.123
"35",1023,2016,4106,7292,"AL",56.3082830499177,13.6,32622,11.5,10527,69.2694974826636,32.622
"36",1023,2020,4296,7464,"AL",57.556270096463,6.5,36634,10.1,10207,73.1262858822377,36.634
"37",1025,2012,7470,13851,"AL",53.9311241065627,16.7,30954,17,19370,71.5074858027878,30.954
"38",1025,2016,7140,13031,"AL",54.7924180799632,17.1,32735,13.3,19229,67.7674346039836,32.735
