"","county_fips","rep_votes","all_votes","state","pc_rep","unemploy_rate","median_income","pc_uninsured","pop_over_18","turnout","med_inc_000s","rain_oct_16","rain_historical","rain_election"
"1",1001,18172,24973,"AL",72.7665879149481,5.6,53099,8.9,41196,60.6199631032139,53.099,0.13,2.57,0
"2",1003,72883,95215,"AL",76.5457123352413,6.3,51365,11.8,155240,61.3340633857253,51.365,0.02,3.35,0
"3",1005,5454,10469,"AL",52.0966663482663,12.8,33956,13,20879,50.1412902916806,33.956,0.08,2.52,0
"4",1007,6738,8819,"AL",76.4032203197641,7.1,39776,9,17816,49.5004490345757,39.776,0.1,2.8,0
"5",1009,22859,25588,"AL",89.3348444583398,6,46212,11.2,44103,58.0187288846564,46.212,0.09,3.03,0
"6",1011,1140,4710,"AL",24.203821656051,13.3,29335,16.7,8278,56.8978014013047,29.335,0.28,2.61,0
"7",1013,4901,8732,"AL",56.1268896014659,9.8,34315,11.8,15547,56.1651765613945,34.315,0.01,2.54,1
"8",1015,32865,47864,"AL",68.6632960053485,11.7,41954,10.9,90242,53.039604618692,41.954,0.01,2.81,1
"9",1017,7843,13900,"AL",56.4244604316547,7.5,36027,11.8,26735,51.9917710865906,36.027,0.2,2.62,0
"10",1019,8953,10733,"AL",83.4156340259014,5.9,38925,9.5,20571,52.1753925429002,38.925,0.13,3.02,0
"11",1021,15081,18369,"AL",82.1002776416789,7.9,42594,15.8,33227,55.2833538989376,42.594,0.08,2.67,0
"12",1023,4106,7292,"AL",56.3082830499177,13.6,32622,11.5,10527,69.2694974826636,32.622,0.01,2.71,0
"13",1025,7140,13031,"AL",54.7924180799632,17.1,32735,13.3,19229,67.7674346039836,32.735,0,2.66,0
"14",1027,5245,6624,"AL",79.1817632850241,6.6,38815,12.9,10569,62.6738575078058,38.815,0.02,2.86,0
"15",1029,5764,6593,"AL",87.4260579402396,7.2,36316,13.8,11473,57.4653534385078,36.316,0.02,2.87,1
"16",1031,15875,20767,"AL",76.4433957721385,6.2,47872,10.7,38869,53.4281818415704,47.872,0.01,2.64,0
"17",1033,16746,24915,"AL",67.212522576761,7.5,43786,9.1,42642,58.4283101167863,43.786,0.31,3.03,0
"18",1035,3420,6585,"AL",51.9362186788155,20.4,27609,19.1,9877,66.6700415105801,27.609,0,2.7,0
"19",1037,3381,5252,"AL",64.3754760091394,12.6,31910,12.6,8872,59.1974752028855,31.91,0.03,2.71,0
"20",1039,13267,15940,"AL",83.2308657465496,10.7,37313,12.4,29411,54.1974091326375,37.313,0,2.82,1
"21",1041,4513,6267,"AL",72.0121270145205,7.4,37557,11.3,10718,58.4717298003359,37.557,0.03,2.54,0
"22",1043,32989,37873,"AL",87.1042695323845,6.1,39297,14.5,63037,60.0805875914146,39.297,0.25,3.16,0
"23",1045,13808,18749,"AL",73.6465944850392,10.4,44093,13.1,37879,49.4970828163362,44.093,0.02,2.58,1
"24",1047,5789,18792,"AL",30.8056619838229,14.9,28136,12.5,30992,60.6350025813113,28.136,0.18,2.62,0
"25",1049,21405,25826,"AL",82.8815921939131,6.3,38248,16,53387,48.3750725832131,38.248,0.31,3.18,1
"26",1051,27634,37260,"AL",74.1653247450349,7.5,53398,8.8,62404,59.7077110441638,53.398,0.18,2.54,0
"27",1053,9935,14845,"AL",66.9248905355338,15.2,32334,17.6,29444,50.4177421545986,32.334,0,2.96,0
"28",1055,32353,44164,"AL",73.2564985055701,8.5,40478,12.1,80606,54.7899660074932,40.478,0.02,2.97,0
"29",1057,6712,8249,"AL",81.3674384773912,8.8,36205,8.4,13176,62.6062537947784,36.205,0.1,3.04,0
"30",1059,9466,12040,"AL",78.6212624584718,9.7,36138,14.1,23898,50.3807850029291,36.138,0.26,3.02,1
"31",1061,9994,11758,"AL",84.997448545671,10.3,36519,14.7,20832,56.4420122887865,36.519,0.02,2.75,1
"32",1063,838,4880,"AL",17.172131147541,18.2,21339,14,6597,73.9730180385023,21.339,0.01,2.73,0
"33",1065,3173,8040,"AL",39.4651741293532,12.1,33351,11.1,11594,69.3462135587373,33.351,0.01,2.77,0
"34",1067,5632,8072,"AL",69.7720515361744,7.5,41045,11.5,13555,59.5499815566212,41.045,0.03,2.43,0
"35",1069,30728,42639,"AL",72.0654799596613,8.1,41945,12.1,79179,53.8513999924222,41.945,0.12,2.56,1
"36",1071,16672,20984,"AL",79.451010293557,8.6,38422,11.9,41173,50.965438515532,38.422,0.19,3.28,0
"37",1073,134768,304191,"AL",44.3037433717631,8.2,47220,10.9,506618,60.0434647012147,47.22,0.03,3,0
"38",1075,5823,6966,"AL",83.5917312661499,9.5,34298,12.7,11016,63.2352941176471,34.298,0.14,2.91,0
"39",1077,27899,39525,"AL",70.5857052498419,7.6,43657,11,73637,53.6754620639081,43.657,0.6,3.15,0
"40",1079,10833,14829,"AL",73.0528019421404,8.3,42339,11,26121,56.7704146089353,42.339,0.46,3.1,0
"41",1081,34617,59191,"AL",58.4835532428917,6.1,45056,9.5,120408,49.1586937745,45.056,0.53,2.58,0
"42",1083,29067,40294,"AL",72.1372909117983,7.9,51115,12.5,69153,58.2678987173369,51.115,0.48,3.14,0
"43",1085,1751,6684,"AL",26.1968880909635,12.3,27914,12.7,8112,82.396449704142,27.914,0.07,2.52,0
"44",1087,1431,9140,"AL",15.6564551422319,15,32390,10.8,16142,56.6224755296741,32.39,0.48,2.52,0
"45",1089,89520,163389,"AL",54.7894901125535,7.3,60150,10.3,271279,60.2291367927484,60.15,0.49,3.12,0
"46",1091,5233,10994,"AL",47.5986901946516,14.1,30713,12.2,15434,71.2323441751976,30.713,0.02,2.63,0
"47",1093,11274,12984,"AL",86.8299445471349,7.6,34074,9.6,23855,54.4288409138545,34.074,0.18,2.96,0
"48",1095,29233,35316,"AL",82.7755125155737,7.2,39831,15.4,71173,49.6199401458418,39.831,0.18,3.05,1
"49",1097,95116,172737,"AL",55.0640569188998,8.7,44263,13.2,314896,54.8552537980794,44.263,0.02,3.17,1
"50",1099,5795,10271,"AL",56.4209911401032,21.8,28182,16.4,16829,61.0315526769267,28.182,0,2.63,0
"51",1101,34003,95878,"AL",35.4648615949436,8.4,45358,12.1,174528,54.9355977264393,45.358,0.27,2.47,1
"52",1103,37486,50644,"AL",74.018639917858,8.9,46883,12.6,91850,55.1377245508982,46.883,0.52,3.07,1
"53",1105,1407,5278,"AL",26.657824933687,11.7,24912,15.4,7636,69.1199580932425,24.912,0.18,2.63,0
"54",1107,5456,9542,"AL",57.1787885139384,12.3,31679,11.1,15847,60.2132895816243,31.679,0.09,2.88,0
"55",1109,7693,13168,"AL",58.4219319562576,9.7,33193,10.6,26608,49.4888755261575,33.193,0.07,2.59,1
"56",1111,7705,10187,"AL",75.6356140178659,8,37496,11.9,17602,57.8741052153164,37.496,0.06,2.82,0
"57",1113,9210,19256,"AL",47.8292480265891,9.4,38400,15.2,43917,43.846346517294,38.4,0.56,2.41,1
"58",1115,31651,38400,"AL",82.4244791666667,6.4,54042,9,66635,57.627373002176,54.042,0.01,2.97,0
"59",1117,73020,101254,"AL",72.1156695044146,4.6,72310,8.2,155659,65.0485998239742,72.31,0.06,2.91,0
"60",1119,1581,6411,"AL",24.6607393542349,15.3,20428,18.2,10641,60.2480969833662,20.428,0.03,2.7,0
"61",1121,20614,33407,"AL",61.7056305564702,12,37923,11.1,63048,52.9866133739373,37.923,0.01,2.76,0
"62",1123,13594,19486,"AL",69.7629067022478,9.8,39395,10.7,32161,60.5889120363173,39.395,0.11,2.69,0
"63",1125,47723,82700,"AL",57.7061668681983,7,48022,9.7,159932,51.7094765275242,48.022,0.04,2.96,1
"64",1127,24266,29472,"AL",82.335776330076,11,37025,12.6,51028,57.7565258289567,37.025,0.14,3.13,0
"65",1129,6042,8533,"AL",70.8074534161491,16.1,40293,13.7,12942,65.9326224694792,40.293,0.01,2.81,0
"66",1131,1737,6118,"AL",28.3916312520432,20.4,24442,15.2,8521,71.7990846144819,24.442,0.03,2.61,0
"67",1133,9228,10313,"AL",89.4792979734316,8.7,33896,12.9,18973,54.3561903757972,33.896,0.27,3.17,1
"68",4001,8240,27661,"AZ",29.7892339394816,15.8,32460,23.6,51155,54.0729156485192,32.46,0.45,1.15,1
"69",4003,28092,50015,"AZ",56.1671498550435,8.6,45383,10.1,99603,50.2143509733643,45.383,0.16,0.94,1
"70",4005,21108,59784,"AZ",35.3071055800883,8.2,51106,16.4,107969,55.3714492122739,51.106,0.45,0.99,0
"71",4007,14182,22312,"AZ",63.5622086769451,12.1,40593,14,42351,52.683525772709,40.593,0.69,1.47,1
"72",4009,8025,12134,"AZ",66.1364760178012,14.4,47422,11.3,27083,44.8030129601595,47.422,0.48,1.11,0
"73",4011,1892,3270,"AZ",57.8593272171254,8.9,51813,11.5,6610,49.4704992435704,51.813,0.46,1.37,1
"74",4012,4003,5951,"AZ",67.2660057133255,10.6,36321,12.2,16792,35.4394949976179,36.321,0.16,0.38,1
"75",4013,747361,1567834,"AZ",47.668375606091,6.8,55676,13.7,3064628,51.1590313734652,55.676,0.18,0.61,0
"76",4015,58282,79943,"AZ",72.9044444166469,11.7,39856,14,165580,48.2805894431695,39.856,0.45,0.72,0
