ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,,
AL-001,Autauga County,Alabama,2.89,57,-0.77,3.66,,
AL-003,Baldwin County,Alabama,0.91,9,-2.82,3.73,,
AL-005,Barbour County,Alabama,0.75,10,-2.59,3.34,,
AL-007,Bibb County,Alabama,3.13,54,-0.72,3.85,,
AL-009,Blount County,Alabama,2.34,30,-1.7,4.04,,
AL-011,Bullock County,Alabama,1.48,23,-2.01,3.49,,
AL-013,Butler County,Alabama,2.29,39,-1.47,3.76,,
AL-015,Calhoun County,Alabama,2.26,34,-1.37,3.63,,
AL-017,Chambers County,Alabama,2.2,38,-1.43,3.63,,
AL-019,Cherokee County,Alabama,1.82,22,-1.97,3.79,,
AL-021,Chilton County,Alabama,2.84,53,-0.86,3.7,,
AL-023,Choctaw County,Alabama,1.78,22,-2.22,4,,
AL-025,Clarke County,Alabama,1.11,10,-2.86,3.97,,
AL-027,Clay County,Alabama,2.76,46,-1.03,3.79,,
AL-029,Cleburne County,Alabama,2.2,35,-1.49,3.69,,
AL-031,Coffee County,Alabama,0.55,5,-3.08,3.63,,
AL-033,Colbert County,Alabama,3.57,54,-0.73,4.3,,
AL-035,Conecuh County,Alabama,1.14,15,-2.63,3.77,,
AL-037,Coosa County,Alabama,2.47,42,-1.23,3.7,,
AL-039,Covington County,Alabama,0.5,3,-3.27,3.77,,
AL-041,Crenshaw County,Alabama,1.91,27,-1.82,3.73,,
AL-043,Cullman County,Alabama,3,47,-1.14,4.14,,
AL-045,Dale County,Alabama,0.58,8,-2.83,3.41,,
AL-047,Dallas County,Alabama,2.38,46,-1.16,3.54,,
AL-049,DeKalb County,Alabama,2.85,38,-1.24,4.09,,
AL-051,Elmore County,Alabama,2.08,34,-1.57,3.65,,
AL-053,Escambia County,Alabama,0.96,9,-2.87,3.83,,
AL-055,Etowah County,Alabama,2.16,30,-1.6,3.76,,
AL-057,Fayette County,Alabama,3.57,56,-0.71,4.28,,
AL-059,Franklin County,Alabama,3.91,64,-0.45,4.36,,
AL-061,Geneva County,Alabama,0.21,1,-3.4,3.61,,
AL-063,Greene County,Alabama,2.71,48,-1.19,3.9,,
AL-065,Hale County,Alabama,3.47,67,-0.3,3.77,,
AL-067,Henry County,Alabama,0.49,7,-2.8,3.29,,
AL-069,Houston County,Alabama,0.45,9,-2.78,3.23,,
AL-071,Jackson County,Alabama,4.68,85,0.47,4.21,,
AL-073,Jefferson County,Alabama,2.39,30,-1.66,4.05,,
AL-075,Lamar County,Alabama,4.06,74,-0.25,4.31,,
AL-077,Lauderdale County,Alabama,3.35,47,-1.02,4.37,,
AL-079,Lawrence County,Alabama,3.84,63,-0.4,4.24,,
AL-081,Lee County,Alabama,1.92,34,-1.59,3.51,,
AL-083,Limestone County,Alabama,3.77,62,-0.49,4.26,,
AL-085,Lowndes County,Alabama,2.33,40,-1.27,3.6,,
AL-087,Macon County,Alabama,2.07,33,-1.48,3.55,,
AL-089,Madison County,Alabama,4.1,67,-0.21,4.31,,
AL-091,Marengo County,Alabama,2.76,50,-1.04,3.8,,
AL-093,Marion County,Alabama,4.44,78,0.08,4.36,,
AL-095,Marshall County,Alabama,2.47,30,-1.59,4.06,,
AL-097,Mobile County,Alabama,1.47,21,-2.36,3.83,,
AL-099,Monroe County,Alabama,1.23,12,-2.58,3.81,,
AL-101,Montgomery County,Alabama,2.56,52,-1.02,3.58,,
AL-103,Morgan County,Alabama,3.47,52,-0.77,4.24,,
AL-105,Perry County,Alabama,3.57,77,-0.08,3.65,,
AL-107,Pickens County,Alabama,2.93,47,-1.18,4.11,,
AL-109,Pike County,Alabama,1.13,11,-2.5,3.63,,
AL-111,Randolph County,Alabama,2.9,53,-0.85,3.75,,
AL-113,Russell County,Alabama,1.46,28,-1.81,3.27,,
AL-115,St. Clair County,Alabama,2.07,26,-1.73,3.8,,
AL-117,Shelby County,Alabama,2.96,51,-0.84,3.8,,
AL-119,Sumter County,Alabama,2.86,50,-1.06,3.92,,
AL-121,Talladega County,Alabama,2.86,55,-0.81,3.67,,
AL-123,Tallapoosa County,Alabama,2.55,44,-1.1,3.65,,
AL-125,Tuscaloosa County,Alabama,2.29,28,-1.8,4.09,,
AL-127,Walker County,Alabama,3,45,-1.13,4.13,,
AL-129,Washington County,Alabama,1.37,15,-2.67,4.04,,
AL-131,Wilcox County,Alabama,1.44,17,-2.26,3.7,,
AL-133,Winston County,Alabama,3.81,59,-0.39,4.2,,
AZ-001,Apache County,Arizona,1.52,111,0.61,0.91,,
AZ-003,Cochise County,Arizona,0.44,56,-0.33,0.77,,
AZ-005,Coconino County,Arizona,1.12,93,0.2,0.92,,
AZ-007,Gila County,Arizona,1.94,91,0.39,1.55,,
AZ-009,Graham County,Arizona,1.49,101,0.48,1.01,,
AZ-011,Greenlee County,Arizona,1.52,95,0.45,1.07,,
AZ-012,La Paz County,Arizona,0.24,71,-0.16,0.4,,
AZ-013,Maricopa County,Arizona,0.77,83,0.07,0.7,,
AZ-015,Mohave County,Arizona,0.52,69,-0.22,0.74,,
AZ-017,Navajo County,Arizona,1.16,100,0.3,0.86,,
AZ-019,Pima County,Arizona,0.45,57,-0.31,0.76,,
AZ-021,Pinal County,Arizona,0.99,86,0.06,0.93,,
AZ-023,Santa Cruz County,Arizona,0.17,38,-0.74,0.91,,
AZ-025,Yavapai County,Arizona,1.31,92,0.22,1.09,,
AZ-027,Yuma County,Arizona,0.1,54,-0.21,0.31,,
AR-001,Arkansas County,Arkansas,2.8,37,-1.64,4.44,,
AR-003,Ashley County,Arkansas,3.83,60,-0.72,4.55,,
AR-005,Baxter County,Arkansas,2.63,54,-1.07,3.7,,
AR-007,Benton County,Arkansas,0.7,13,-2.83,3.53,,
AR-009,Boone County,Arkansas,1.57,25,-2.07,3.64,,
AR-011,Bradley County,Arkansas,3.44,52,-1.07,4.51,,
AR-013,Calhoun County,Arkansas,3.82,64,-0.76,4.58,,
AR-015,Carroll County,Arkansas,1.35,21,-2.34,3.69,,
AR-017,Chicot County,Arkansas,4.27,73,-0.29,4.56,,
AR-019,Clark County,Arkansas,3.59,64,-0.98,4.57,,
AR-021,Clay County,Arkansas,3.71,64,-0.47,4.18,,
AR-023,Cleburne County,Arkansas,3.63,60,-0.86,4.49,,
AR-025,Cleveland County,Arkansas,3.87,64,-0.74,4.61,,
AR-027,Columbia County,Arkansas,3.5,58,-1.03,4.53,,
AR-029,Conway County,Arkansas,3.01,51,-1.33,4.34,,
AR-031,Craighead County,Arkansas,3.59,61,-0.68,4.27,,
AR-033,Crawford County,Arkansas,1.83,28,-2.08,3.91,,
AR-035,Crittenden County,Arkansas,3.16,55,-1.18,4.34,,
AR-037,Cross County,Arkansas,3.32,56,-1.02,4.34,,
AR-039,Dallas County,Arkansas,3.55,60,-1.03,4.58,,
AR-041,Desha County,Arkansas,3.19,48,-1.29,4.48,,
AR-043,Drew County,Arkansas,3.46,51,-1.06,4.52,,
AR-045,Faulkner County,Arkansas,3.1,51,-1.44,4.54,,
AR-047,Franklin County,Arkansas,2.96,58,-1.03,3.99,,
AR-049,Fulton County,Arkansas,2.86,57,-1.06,3.92,,
AR-051,Garland County,Arkansas,3.59,62,-1,4.59,,
AR-053,Grant County,Arkansas,3.88,67,-0.69,4.57,,
AR-055,Greene County,Arkansas,3.71,63,-0.55,4.26,,
AR-057,Hempstead County,Arkansas,4.21,76,-0.27,4.48,,
AR-059,Hot Spring County,Arkansas,3.5,57,-1.14,4.64,,
AR-061,Howard County,Arkansas,4.29,78,-0.16,4.45,,
AR-063,Independence County,Arkansas,3.07,52,-1.2,4.27,,
AR-065,Izard County,Arkansas,3.12,60,-0.93,4.05,,
AR-067,Jackson County,Arkansas,2.82,45,-1.45,4.27,,
AR-069,Jefferson County,Arkansas,3.67,59,-0.84,4.51,,
AR-071,Johnson County,Arkansas,3.94,79,-0.25,4.19,,
AR-073,Lafayette County,Arkansas,3.61,61,-0.82,4.43,,
AR-075,Lawrence County,Arkansas,3.29,53,-0.99,4.28,,
AR-077,Lee County,Arkansas,3.55,63,-0.8,4.35,,
AR-079,Lincoln County,Arkansas,3.37,52,-1.14,4.51,,
AR-081,Little River County,Arkansas,4.42,81,0.11,4.31,,
AR-083,Logan County,Arkansas,4.01,84,0.15,3.86,,
AR-085,Lonoke County,Arkansas,2.86,39,-1.57,4.43,,
AR-087,Madison County,Arkansas,2.4,41,-1.57,3.97,,
AR-089,Marion County,Arkansas,1.87,35,-1.75,3.62,,
AR-091,Miller County,Arkansas,3.52,63,-0.83,4.35,,
AR-093,Mississippi County,Arkansas,2.96,52,-1.21,4.17,,
AR-095,Monroe County,Arkansas,3.05,43,-1.3,4.35,,
AR-097,Montgomery County,Arkansas,4.1,75,-0.35,4.45,,
AR-099,Nevada County,Arkansas,3.97,71,-0.57,4.54,,
AR-101,Newton County,Arkansas,3.03,55,-1.04,4.07,,
AR-103,Ouachita County,Arkansas,4.06,68,-0.55,4.61,,
AR-105,Perry County,Arkansas,3.23,56,-1.04,4.27,,
AR-107,Phillips County,Arkansas,3.43,55,-1.05,4.48,,
AR-109,Pike County,Arkansas,4.21,72,-0.39,4.6,,
AR-111,Poinsett County,Arkansas,3.13,49,-1.12,4.25,,
AR-113,Polk County,Arkansas,3.94,70,-0.33,4.27,,
AR-115,Pope County,Arkansas,3.58,69,-0.74,4.32,,
AR-117,Prairie County,Arkansas,2.98,42,-1.35,4.33,,
AR-119,Pulaski County,Arkansas,2.84,39,-1.7,4.54,,
AR-121,Randolph County,Arkansas,3.25,53,-0.95,4.2,,
AR-123,St. Francis County,Arkansas,3.5,60,-0.86,4.36,,
AR-125,Saline County,Arkansas,3.32,53,-1.3,4.62,,
AR-127,Scott County,Arkansas,4.34,84,0.36,3.98,,
AR-129,Searcy County,Arkansas,2.55,47,-1.43,3.98,,
AR-131,Sebastian County,Arkansas,3.02,65,-0.7,3.72,,
AR-133,Sevier County,Arkansas,4.78,89,0.48,4.3,,
AR-135,Sharp County,Arkansas,2.73,45,-1.44,4.17,,
AR-137,Stone County,Arkansas,3.13,57,-1.07,4.2,,
AR-139,Union County,Arkansas,3.26,53,-1.17,4.43,,
AR-141,Van Buren County,Arkansas,3.35,61,-1.11,4.46,,
AR-143,Washington County,Arkansas,1.18,18,-2.57,3.75,,
AR-145,White County,Arkansas,3.42,53,-1.06,4.48,,
AR-147,Woodruff County,Arkansas,2.85,45,-1.5,4.35,,
