ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,,
AL-001,Autauga County,Alabama,0.13,4,-2.44,2.57,,
AL-003,Baldwin County,Alabama,0.02,1,-3.33,3.35,,
AL-005,Barbour County,Alabama,0.08,4,-2.44,2.52,,
AL-007,Bibb County,Alabama,0.1,3,-2.7,2.8,,
AL-009,Blount County,Alabama,0.09,3,-2.94,3.03,,
AL-011,Bullock County,Alabama,0.28,4,-2.33,2.61,,
AL-013,Butler County,Alabama,0.01,2,-2.53,2.54,,
AL-015,Calhoun County,Alabama,0.01,1,-2.8,2.81,,
AL-017,Chambers County,Alabama,0.2,5,-2.42,2.62,,
AL-019,Cherokee County,Alabama,0.13,2,-2.89,3.02,,
AL-021,Chilton County,Alabama,0.08,3,-2.59,2.67,,
AL-023,Choctaw County,Alabama,0.01,1,-2.7,2.71,,
AL-025,Clarke County,Alabama,0,1,-2.66,2.66,,
AL-027,Clay County,Alabama,0.02,2,-2.84,2.86,,
AL-029,Cleburne County,Alabama,0.02,2,-2.85,2.87,,
AL-031,Coffee County,Alabama,0.01,1,-2.63,2.64,,
AL-033,Colbert County,Alabama,0.31,7,-2.72,3.03,,
AL-035,Conecuh County,Alabama,0,1,-2.7,2.7,,
AL-037,Coosa County,Alabama,0.03,2,-2.68,2.71,,
AL-039,Covington County,Alabama,0,1,-2.82,2.82,,
AL-041,Crenshaw County,Alabama,0.03,3,-2.51,2.54,,
AL-043,Cullman County,Alabama,0.25,5,-2.91,3.16,,
AL-045,Dale County,Alabama,0.02,2,-2.56,2.58,,
AL-047,Dallas County,Alabama,0.18,4,-2.44,2.62,,
AL-049,DeKalb County,Alabama,0.31,5,-2.87,3.18,,
AL-051,Elmore County,Alabama,0.18,3,-2.36,2.54,,
AL-053,Escambia County,Alabama,0,1,-2.96,2.96,,
AL-055,Etowah County,Alabama,0.02,1,-2.95,2.97,,
AL-057,Fayette County,Alabama,0.1,5,-2.94,3.04,,
AL-059,Franklin County,Alabama,0.26,7,-2.76,3.02,,
AL-061,Geneva County,Alabama,0.02,2,-2.73,2.75,,
AL-063,Greene County,Alabama,0.01,1,-2.72,2.73,,
AL-065,Hale County,Alabama,0.01,1,-2.76,2.77,,
AL-067,Henry County,Alabama,0.03,4,-2.4,2.43,,
AL-069,Houston County,Alabama,0.12,6,-2.44,2.56,,
AL-071,Jackson County,Alabama,0.19,4,-3.09,3.28,,
AL-073,Jefferson County,Alabama,0.03,2,-2.97,3,,
AL-075,Lamar County,Alabama,0.14,4,-2.77,2.91,,
AL-077,Lauderdale County,Alabama,0.6,11,-2.55,3.15,,
AL-079,Lawrence County,Alabama,0.46,9,-2.64,3.1,,
AL-081,Lee County,Alabama,0.53,11,-2.05,2.58,,
AL-083,Limestone County,Alabama,0.48,8,-2.66,3.14,,
AL-085,Lowndes County,Alabama,0.07,3,-2.45,2.52,,
AL-087,Macon County,Alabama,0.48,10,-2.04,2.52,,
AL-089,Madison County,Alabama,0.49,8,-2.63,3.12,,
AL-091,Marengo County,Alabama,0.02,2,-2.61,2.63,,
AL-093,Marion County,Alabama,0.18,4,-2.78,2.96,,
AL-095,Marshall County,Alabama,0.18,4,-2.87,3.05,,
AL-097,Mobile County,Alabama,0.02,2,-3.15,3.17,,
AL-099,Monroe County,Alabama,0,1,-2.63,2.63,,
AL-101,Montgomery County,Alabama,0.27,7,-2.2,2.47,,
AL-103,Morgan County,Alabama,0.52,10,-2.55,3.07,,
AL-105,Perry County,Alabama,0.18,4,-2.45,2.63,,
AL-107,Pickens County,Alabama,0.09,2,-2.79,2.88,,
AL-109,Pike County,Alabama,0.07,4,-2.52,2.59,,
AL-111,Randolph County,Alabama,0.06,2,-2.76,2.82,,
AL-113,Russell County,Alabama,0.56,15,-1.85,2.41,,
AL-115,St. Clair County,Alabama,0.01,2,-2.96,2.97,,
AL-117,Shelby County,Alabama,0.06,3,-2.85,2.91,,
AL-119,Sumter County,Alabama,0.03,1,-2.67,2.7,,
AL-121,Talladega County,Alabama,0.01,1,-2.75,2.76,,
