"","county_fips","trump_votes","all_votes","state","pc_trump","pc_hs_grad","unemploy_rate","median_income","pc_uninsured","pc_male","pc_under_18","pc_over_65","pc_black","pc_latin","med_inc_000s"
"1",1001,19838,27770,"AL",71.4368023046453,68.6,2.9,57982,8,48.6,23.6,15.3,20.5,2.9,57.982
"2",1003,83544,109679,"AL",76.1713728243328,72.8,3.9,61756,9.5,48.5,21.5,20.5,9.3,4.6,61.756
"3",1005,5622,10518,"AL",53.4512264689104,64.3,6.9,34990,10.7,52.6,20.9,19.1,48.5,4.4,34.99
"4",1007,7525,9595,"AL",78.4262636789995,54.9,7.4,51721,9.1,53.7,20.5,16.4,22.7,2.7,51.721
"5",1009,24711,27588,"AL",89.5715528490648,64.9,5.2,48922,10,49.7,23.2,18,1.9,9.3,48.922
"6",1011,1146,4613,"AL",24.8428354649902,58.6,3.4,33866,10.5,54.8,22.4,16.1,69.2,8.1,33.866
"7",1013,5458,9488,"AL",57.5252951096121,53.5,6.5,44850,10.1,45.9,22.3,20.7,45.3,1.5,44.85
"8",1015,35101,50983,"AL",68.8484396759704,65.6,7.3,50128,10,48,21.7,17.7,22.3,3.9,50.128
"9",1017,8753,15284,"AL",57.2690395184507,62.9,3.6,43875,9.2,47.7,20.8,19.5,40.4,2.5,43.875
"10",1019,10583,12301,"AL",86.0336558003414,60.8,4.1,42509,9.5,49.5,19.2,22.9,5.2,1.7,42.509
"11",1021,16085,19310,"AL",83.2988089073019,56.7,6.1,52141,11.7,48.7,23.9,16.6,11.4,7.8,52.141
"12",1023,4296,7464,"AL",57.556270096463,63.9,6.5,36634,10.1,47.3,20,23.1,42.5,0.5,36.634
"13",1025,7324,13135,"AL",55.7594213932242,58.4,11.6,37345,9.6,47.6,21.6,19.9,46.4,0.6,37.345
"14",1027,5601,6930,"AL",80.8225108225108,60,5.4,42678,8.5,48.2,20.6,20.4,16.1,3.1,42.678
"15",1029,6484,7227,"AL",89.7191088971911,61.6,3.3,46320,12.2,48.6,22.5,20.6,3.7,2.5,46.32
"16",1031,16899,22275,"AL",75.8653198653199,72.5,5.5,56799,10.6,49.4,23.6,17,19.3,7.7,56.799
"17",1033,19203,27886,"AL",68.8625116545937,63,4,47962,6.8,48.1,20.9,19.8,17.1,2.9,47.962
"18",1035,3442,6441,"AL",53.4389070020183,53.3,7.9,35444,10.4,48.7,20.8,22.7,48.1,0.5,35.444
"19",1037,3631,5479,"AL",66.2712173754335,58,2.6,43571,6.9,51.4,16.5,23.3,32.4,1.3,43.571
"20",1039,14586,17430,"AL",83.6833046471601,62.7,7.7,42566,10.7,48.6,21.7,21.2,13.3,1.8,42.566
"21",1041,4864,6617,"AL",73.5076318573372,61.8,4,42611,8.1,47.7,22.3,19.3,25.5,2.2,42.611
"22",1043,36880,41851,"AL",88.1221476189338,67.7,5,48388,11.6,49.3,22.4,18.4,1.7,4.4,48.388
"23",1045,14303,19738,"AL",72.4642820954504,69.1,9,45644,10.8,49.2,23,16.9,22.3,6.7,45.644
"24",1047,5524,17864,"AL",30.922525750112,63.8,10.4,33317,10.2,46.1,24.1,18,71.7,0.3,33.317
"25",1049,24767,29356,"AL",84.3677612753781,67.3,4.5,42267,13.7,49.4,24.3,17,2.1,14.7,42.267
"26",1051,30164,41030,"AL",73.5169388252498,68.3,4.1,62324,7.3,48.3,22.3,15.5,21.9,3,62.324
"27",1053,10869,15910,"AL",68.3155248271527,57,10.1,35558,11.8,50.8,22.4,18.1,32.6,2.4,35.558
"28",1055,35528,47728,"AL",74.4384847468991,66.6,5.7,44934,11.5,48.2,21.5,19,16.9,4.1,44.934
"29",1057,7300,8766,"AL",83.2762947752681,57.4,8,41469,8.1,49.1,21.2,20.9,13.9,0.5,41.469
"30",1059,10376,12578,"AL",82.4932421688663,61,4.8,41174,11.7,49.5,25,16.5,4.1,17.7,41.174
"31",1061,10848,12545,"AL",86.4726982861698,63.9,3.7,41569,11.7,48.5,22,20.3,10.9,4.1,41.569
"32",1063,875,4775,"AL",18.3246073298429,60.1,12.7,26688,16.6,47.4,21.5,22.3,81.3,2.7,26.688
"33",1065,3192,7900,"AL",40.4050632911392,62.8,9.1,30793,8.3,47.5,23.2,19.3,60.1,0.1,30.793
"34",1067,6607,9298,"AL",71.0582921058292,67.7,5.5,51715,7.8,48.2,20.8,22.5,27,2.6,51.715
"35",1069,32618,46173,"AL",70.6430164814935,68.5,5.6,49069,11.4,47.9,23.1,17.7,28.3,3.4,49.069
"36",1071,19670,23636,"AL",83.2205110847859,60.9,5.2,42578,10.1,48.9,21,20,4,3,42.578
"37",1073,138843,325848,"AL",42.6097444207115,73.7,6.3,55088,9,47.3,22.8,15.8,43.9,3.9,55.088
"38",1075,6174,7193,"AL",85.8334491867093,59,5.1,42688,5.6,49.4,22,21.6,11.2,1.7,42.688
"39",1077,31721,44339,"AL",71.541983355511,65.1,4.7,48428,9,48,19.7,20,11,2.8,48.428
"40",1079,12322,16031,"AL",76.8635768199114,60.3,3.8,47125,9.2,47.9,21.6,18,11.6,2.3,47.125
"41",1081,42221,71449,"AL",59.0924995451301,77.7,4.7,52930,7.8,49.2,21.1,12.1,24,3.7,52.93
"42",1083,34640,49235,"AL",70.3564537422565,70.7,5.1,64270,8.6,49.9,22.5,15.3,14.6,6,64.27
"43",1085,1836,6835,"AL",26.861741038771,58.8,10.5,33634,8.3,47.7,22.3,18.9,75.1,0.4,33.634
"44",1087,1541,8723,"AL",17.6659406167603,69.4,10.9,35450,9,45.5,17.3,19.9,83.2,0.4,35.45
"45",1089,102780,194767,"AL",52.7707465843803,80.5,4.5,66887,8.1,48.8,21.8,15,26,5,66.887
"46",1091,5343,10900,"AL",49.0183486238532,61.8,6.9,33029,8.5,47,23.2,19.7,52.3,2.6,33.029
"47",1093,12205,13807,"AL",88.397189831245,65.5,6.2,40978,10.3,49.5,20.8,21.2,4.5,2.6,40.978
"48",1095,33191,39655,"AL",83.6994073887278,68.9,3.7,50216,12.1,49.4,25,17.2,3.4,14.1,50.216
"49",1097,101243,183164,"AL",55.2745080911096,66.5,5.6,49625,11.2,47.6,23.5,16.2,36.9,2.9,49.625
"50",1099,6147,10668,"AL",57.6209223847019,54,13.5,31969,12.2,48.1,21.7,20,43.1,0.4,31.969
"51",1101,33311,99139,"AL",33.6002985706937,75.5,6.4,51963,10.1,47.1,23.5,15,59.6,3.5,51.963
"52",1103,39664,53722,"AL",73.8319496668032,68.3,4.8,52923,10.2,49.3,22.9,17.5,13.5,8.4,52.923
"53",1105,1339,5230,"AL",25.6022944550669,63.9,11.5,23875,9.9,47.7,21.2,19.5,69.1,2,23.875
"54",1107,5594,9668,"AL",57.8609846917666,61,8.5,40362,9.4,47.8,19.7,18.9,41.1,4.9,40.362
"55",1109,8042,13841,"AL",58.1027382414565,66.6,4.9,39218,8.9,48.1,18.9,15.4,38.4,2.3,39.218
"56",1111,8559,10837,"AL",78.9794223493587,64.6,4.1,45141,9.3,48.5,21.2,20.6,20.2,2.9,45.141
"57",1113,9864,21329,"AL",46.2468939003235,70.3,5.6,42208,10.8,48,24.1,14.3,47.3,5.6,42.208
"58",1115,36166,44441,"AL",81.3798069350375,65.2,5.2,62531,8.2,49.8,22.6,16.8,9.9,2.4,62.531
"59",1117,79700,114950,"AL",69.3344932579382,80.6,3.8,78889,6.1,48.3,23.4,15.4,13.6,5.7,78.889
"60",1119,1598,6291,"AL",25.4013670322683,65.4,8,26150,11.4,45.6,19.3,18.2,71.4,1.2,26.15
"61",1121,22235,35663,"AL",62.3475310545944,66.5,7.1,43969,9.2,48.2,21.2,17.8,33.7,2.4,43.969
"62",1123,14963,20991,"AL",71.282930779858,67.1,11,48160,8.5,48.5,20.7,21.4,27.9,2.4,48.16
"63",1125,51117,90172,"AL",56.6883289712993,71.1,6,54283,7,48.1,21,13.3,32.8,3.8,54.283
"64",1127,26002,31170,"AL",83.4199550850176,65,7.3,45833,11.4,49.1,22.2,19.4,7,2.6,45.833
"65",1129,6564,8876,"AL",73.9522307345651,55.8,6.8,42331,9.5,49.5,21.3,19.8,25.4,0.9,42.331
"66",1131,1833,5903,"AL",31.052007453837,59.6,13,35063,10.1,46.2,23.8,19.5,70.5,0.5,35.063
"67",1133,10195,11284,"AL",90.3491669620702,61.3,5.4,40991,12,49.1,20.4,21.8,1.3,3.1,40.991
"68",2013,4652,7713,"AK",60.3137559963698,59.3,3.6,75833,39.7,57.7,13.1,11.2,5,8.7,75.833
"69",2016,3516,8118,"AK",43.3111603843311,57.5,4,87443,17.2,63.8,17.8,7.5,4.6,13.8,87.443
"70",2020,2383,7497,"AK",31.7860477524343,76.3,5.2,84813,10.6,51,24.3,11.1,8.1,9.4,84.813
"71",4001,11442,35172,"AZ",32.5315591948141,68.8,9.4,33967,26.2,49.3,26.8,15.5,1.5,6.6,33.967
"72",4003,35557,60442,"AZ",58.8282982032362,76,6.8,51505,7.8,50.9,21.5,22.2,5.7,35.5,51.505
"73",4005,27052,73272,"AZ",36.919969428977,78.3,8.1,59000,11.1,49.3,20.4,12.6,2.4,14.4,59
"74",4007,18377,27662,"AZ",66.4340973176198,71.3,6.3,46907,10.1,49.5,19.8,28.9,0.9,19,46.907
"75",4009,10749,14995,"AZ",71.6838946315438,69.7,6.9,55693,7.4,53.4,26.8,13.9,2.1,33.1,55.693
"76",4011,2433,3685,"AZ",66.0244233378562,69.6,2.8,66368,3,53.5,27.3,12.8,2.8,47.3,66.368
"77",4012,5129,7458,"AZ",68.7717886832931,66.9,8.8,34956,13.3,51.1,16,39.8,1.6,27.7,34.956
"78",4013,995665,2068144,"AZ",48.1429242838023,77.6,5.1,67799,10.9,49.4,23.8,15.2,7.2,31.1,67.799
"79",4015,78535,104668,"AZ",75.0324836626285,65.7,7.6,47686,9.4,50.4,17.1,30.4,1.7,16.7,47.686
"80",4017,27657,51767,"AZ",53.4259277145672,70.8,11,43140,13.5,50.1,26.5,18.1,1.8,11.7,43.14
"81",4019,207758,520397,"AZ",39.9229818772975,78.5,6.8,55023,8.9,49.2,20.8,19.8,5.1,37.5,55.023
"82",4021,107077,184974,"AZ",57.8875950133532,69.7,7.1,60968,8.8,51.9,22.6,20.5,5.9,30.5,60.968
"83",4023,6194,19556,"AZ",31.6731437921865,72.5,8.3,41424,11.7,48.2,27.1,17.9,1.4,83.3,41.424
"84",4025,91527,143221,"AZ",63.9061310841287,73.8,5.8,53329,9.7,48.8,16.2,31.6,1.3,14.7,53.329
"85",4027,36534,69881,"AZ",52.2803050900817,73.4,8.6,48790,12.6,51.5,25.2,19.1,3.1,64.1,48.79
"86",5001,4304,6292,"AR",68.4043229497775,57,4.8,51000,5.3,47.8,22.9,19.2,26.9,3.4,51
"87",5003,5548,7926,"AR",69.9974766590966,51.4,4.5,43601,7.7,48.3,22.8,20.5,25.4,5.6,43.601
"88",5005,15836,21007,"AR",75.3843956776313,64.9,5.4,43504,5.8,48.6,17.4,31.2,0.6,2.4,43.504
"89",5007,73965,119912,"AR",61.682734004937,71.1,2.6,71556,8.7,49.8,26.3,13.5,2.7,16.8,71.556
"90",5009,13652,17114,"AR",79.7709477620661,65.6,4.5,46392,6.8,49.3,22.7,20.9,1,2.6,46.392
"91",5011,2335,3654,"AR",63.9025725232622,57.2,5.7,41808,10.8,47.2,24.2,18.4,28.9,15.4,41.808
"92",5013,1636,2182,"AR",74.9770852428964,54.7,8,50441,8.3,50,18.7,21.1,22.8,4.2,50.441
"93",5015,7424,11797,"AR",62.93125370857,64,4.5,48249,11.5,49.8,21.9,23,1.6,15.1,48.249
"94",5017,1752,4103,"AR",42.7004630757982,62.2,10.8,33523,10.6,49.5,22.1,20.8,54.2,5.7,33.523
"95",5019,4616,8395,"AR",54.9851101846337,67.4,3.6,39500,9,47.4,19,16.5,25.3,4.8,39.5
"96",5021,4086,5183,"AR",78.834651746093,58.6,5.8,37933,5.8,49.2,21.5,21.3,1.2,2.2,37.933
"97",5023,10328,12680,"AR",81.4511041009464,59.2,5.1,45563,7.6,49.9,19,26.8,1.6,2.4,45.563
"98",5025,2867,3600,"AR",79.6388888888889,53.9,3.1,46349,3.7,47.4,22.6,20.6,14.8,0,46.349
"99",5027,5500,8616,"AR",63.8347260909935,58.3,6.5,37609,7.3,48.1,20.7,17.3,36.6,2.8,37.609
"100",5029,5694,8685,"AR",65.5613126079447,58.8,7.3,44456,5.7,49.3,22.8,19.2,12.6,4,44.456
"101",5031,25558,38511,"AR",66.3654540261224,66.3,5.8,49730,8.6,48.8,24.7,13.7,16.9,5.1,49.73
"102",5033,18607,24091,"AR",77.2363123158026,65,4.8,48980,8.4,49.3,24.5,16.8,2.3,8,48.98
"103",5035,7333,16367,"AR",44.8035681554347,65.7,9.3,42384,8,47.6,27.2,13.8,52.1,2.7,42.384
"104",5037,4946,6942,"AR",71.2474791126477,59.7,7,44379,7.6,48.2,23.8,18.5,19.4,2.1,44.379
"105",5039,1573,2649,"AR",59.3808984522461,54.5,7,35134,7.7,48.6,21.3,23,44.1,1.6,35.134
"106",5041,1921,4164,"AR",46.133525456292,54.9,5,31855,7.7,46,25.7,18.8,48.1,6.4,31.855
"107",5043,4349,6908,"AR",62.9559930515345,63.1,2.8,42924,4.8,48.7,21.7,18,29.3,3.6,42.924
"108",5045,34421,54428,"AR",63.2413463658411,69.3,3.6,54191,8.3,48.6,23.1,12.5,13,4.2,54.191
"109",5047,5677,7129,"AR",79.6324870248282,57.7,5.4,37561,5.4,49.7,22.9,19.9,1.4,3.2,37.561
"110",5049,3961,5119,"AR",77.3783942176206,63.2,5.1,35274,10.9,49,20.8,26,0.5,0.6,35.274
"111",5051,29069,44199,"AR",65.7684562999163,68.8,6.3,48150,10.1,47.9,20.1,23.7,9.8,5.8,48.15
"112",5053,6794,8200,"AR",82.8536585365854,60.5,3.3,59051,5.5,49.6,22.5,17.5,2.9,2.9,59.051
"113",5055,12670,16100,"AR",78.695652173913,55.6,7.5,50083,7.4,49,24.4,16,2.8,2.9,50.083
"114",5057,4470,6848,"AR",65.2745327102804,61.5,5.7,45484,9.4,46.2,25.4,18.1,31,12.9,45.484
"115",5059,9202,12557,"AR",73.2818348331608,61.6,5.6,46390,6.9,52.5,21.3,18.7,12,3.5,46.39
"116",5061,3367,4834,"AR",69.6524617294166,60,6.6,38038,10.4,47.7,26,17.9,21.4,12.7,38.038
"117",5063,11250,14512,"AR",77.5220507166483,63,4.3,48972,8.6,49.1,24,17.3,3.2,6.6,48.972
"118",5065,4631,5810,"AR",79.7074010327022,64.3,10.7,42818,5.6,52.6,17.4,25.5,2.5,2.4,42.818
"119",5067,3593,5091,"AR",70.5755254370458,56.7,10.6,37885,8.8,49.5,19.9,17.9,13.9,3,37.885
"120",5069,9521,25158,"AR",37.8448207329676,59.8,8.6,40402,6,49.4,22,17.3,57.2,2.2,40.402
"121",5071,6938,9498,"AR",73.0469572541588,58.6,3.9,39346,7.5,49.1,24.3,16.4,2.1,14,39.346
"122",5073,1757,2679,"AR",65.5841731989548,57.5,6.7,33763,7.6,50.1,19,23.7,36.6,2.9,33.763
"123",5075,4569,5857,"AR",78.0092197370668,62.6,7.8,40587,6.6,49.9,22,19.5,1.6,1.6,40.587
"124",5077,1286,2848,"AR",45.1544943820225,54.6,13.8,27902,8.2,56.8,18.3,19.3,56.1,2.7,27.902
"125",5079,2729,3875,"AR",70.4258064516129,52.3,1.7,46554,6.5,63.8,16.8,15.4,30.5,4.1,46.554
"126",5081,3715,5177,"AR",71.7597063936643,56.6,7.9,48966,5.1,47.7,22.2,21.5,20.7,3.7,48.966
"127",5083,6441,8225,"AR",78.3100303951368,56.3,6.1,44232,6.1,49.3,21.7,20,2.2,3.1,44.232
"128",5085,22884,30662,"AR",74.6330963407475,62.5,4.7,59278,7.2,49.1,25.6,13.6,6.8,4.6,59.278
"129",5087,5658,7351,"AR",76.9691198476398,51,7.7,41446,9.1,50.8,23.1,19,1.3,5.8,41.446
"130",5089,5783,7503,"AR",77.0758363321338,65.4,6,38426,5.9,48.4,18.1,28,0.9,2.4,38.426
"131",5091,11920,16529,"AR",72.1156754794603,65.4,8.1,45391,8.9,49.2,23.7,16.5,26.2,3.4,45.391
"132",5093,7296,12342,"AR",59.1152163344677,61.2,8.9,42986,7.5,48.9,26.2,14.7,36.5,4.4,42.986
"133",5095,1545,2816,"AR",54.8650568181818,57.2,6.2,38438,8.4,47.9,21,22.9,43.6,1.1,38.438
"134",5097,3046,3873,"AR",78.6470436354247,66.2,7.5,41165,10.9,49.9,18.5,27.3,0.6,4.3,41.165
"135",5099,2133,3358,"AR",63.5199523525908,50.8,5.6,39946,7.8,50.2,22.6,20.6,36.7,0,39.946
"136",5101,3192,3998,"AR",79.83991995998,62.5,5.3,39542,4.4,49.4,19.7,26.8,0,0.9,39.542
