"","caseid","commonweight","age","gender","race_eth","education","marital","employment","device","republican","public_ins","public_option"
"1",1028709891,1.07348210551913,61,"Male","Hispanic/Latino","High school graduate","Married","Employed","Computer",1,0,0
"2",1028709893,1.11703326775011,68,"Male","White","College graduate or higher","Married","Retired","Computer",0,0,1
"3",1028407821,0.7846821122636,51,"Female","White","College graduate or higher","Married","Other","Tablet",0,0,1
"4",1028709805,0.462042147261062,74,"Female","White","College graduate or higher","Divorced","Employed","Tablet",0,1,1
"5",1028458001,1.26660887447688,48,"Male","White","College graduate or higher","Married","Employed","Computer",1,0,0
"6",1028710915,0.348011037937597,46,"Female","Other","Some college or 2-year degree","Never married","Unemployed","Computer",0,1,1
"7",1028709915,0.686235441741865,63,"Female","White","Some college or 2-year degree","Divorced","Retired","Computer",0,0,1
"8",1028709941,0.821991771850886,59,"Male","White","College graduate or higher","Married","Employed","Computer",1,1,0
"9",1028710455,1.23907723338555,69,"Female","White","College graduate or higher","Never married","Retired","Smartphone",1,1,1
"10",1028710973,0.289334544472787,32,"Male","Asian","College graduate or higher","Never married","Employed","Computer",0,1,1
"11",1028709955,0.672253448087088,56,"Female","White","College graduate or higher","Never married","Employed","Computer",0,0,1
"12",1028235335,0.411049064711462,35,"Male","White","College graduate or higher","Married","Employed","Computer",0,0,1
"13",1028709963,0.872123666278377,41,"Female","White","College graduate or higher","Married","Employed","Smartphone",0,0,1
"14",1028710415,1.03282090239637,49,"Female","Black","College graduate or higher","Divorced","Employed","Computer",0,0,1
"15",1028363707,0.871729566674394,47,"Female","White","College graduate or higher","Divorced","Employed","Tablet",1,0,0
"16",1028711013,0.802867744672148,39,"Male","White","College graduate or higher","Married","Employed","Computer",0,0,1
"17",1028711015,0.500868438875897,30,"Male","White","College graduate or higher","Married","Employed","Computer",0,0,1
"18",1028712117,0.823817853019831,32,"Female","White","College graduate or higher","Married","Employed","Computer",1,0,0
"19",1028710001,1.22776604908662,65,"Female","White","College graduate or higher","Married","Retired","Computer",0,1,1
"20",1028711549,0.668616766350554,53,"Male","Hispanic/Latino","College graduate or higher","Never married","Employed","Smartphone",0,0,1
"21",1028711555,0.942148644447642,39,"Male","White","Some college or 2-year degree","Never married","Disabled","Computer",0,1,1
"22",1028712073,0.988184410683353,62,"Male","White","College graduate or higher","Divorced","Disabled","Computer",1,1,0
"23",1028702659,3.21498103352059,65,"Female","White","Less than high school","Married","Disabled","Tablet",0,0,1
"24",1028710553,0.280258431633857,33,"Female","Black","College graduate or higher","Married","Employed","Computer",0,0,1
"25",1028711581,0.954364936970348,37,"Female","White","Some college or 2-year degree","Never married","Employed","Tablet",0,0,1
"26",1028710051,0.998126053562208,51,"Female","White","Some college or 2-year degree","Married","Disabled","Computer",1,0,0
"27",1028700785,1.14604359071977,82,"Male","White","Some college or 2-year degree","Married","Retired","Computer",1,1,0
"28",1028712107,0.333544284255946,56,"Male","White","High school graduate","Married","Other","Computer",1,0,1
"29",1028711093,0.647137612973872,48,"Female","White","College graduate or higher","Married","Employed","Computer",0,0,1
"30",1028712119,0.597723056258112,79,"Female","White","College graduate or higher","Widowed","Retired","Computer",0,1,1
